path,title,type
assets/img/ce/Bolan.jpg,Marc Bolan,ce
assets/img/ce/Casal.jpg,Tino Casal,ce
assets/img/ce/Morrison.jpg,Jim Morrison,ce
assets/img/ce/Blues_brothers.jpg,Blues brothers,ce
assets/img/ce/TheprodigyKeith.jpg ,Keith (The Prodigy),ce
assets/img/ce/Tracy_Lords_Paul_Stanley.jpg,Tracy Lords & Paul Stanley,reflejos
assets/img/reflejos/monjaula.jpg,Monja,reflejos
assets/img/reflejos/Sheena.jpg,Sheena,reflejos
assets/img/reflejos/Del_equilibrio_a_la_mirada.jpg,Del equilibrio a la mirada,reflejos
assets/img/eros/Ofrenda_floral.jpg,Ofrenda floral,eros
assets/img/eros/Lolita.jpg,Lolita,eros
assets/img/eros/Arrebato.jpg,Arrebato,eros
